"pmid","study","item1_step1","item1_step2","item2_step1","item2_step2","item3_step1","item3_step2","item4_step1","item4_step2","item5_step1","item5_step2","item6_step2","opt1_step1","opt1_step2","opt2_step1","opt2_step2","opt3_step1","opt3_step2"
"40001","Albert, 2024","Definitely Yes","Definitely Low","Probably No","Probably Low","Probably Yes","Probably Low","Definitely Yes","Definitely Low","Definitely No","Definitely Low","Definitely Low","Definitely Yes","Probably Low","Probably Yes","Definitely Low","Probably Yes","Definitely High"
"40002","Brandon, 2024","Probably Yes","Definitely High","Probably No","Definitely Low","Probably Yes","Definitely High","Probably No","Probably High","Probably Yes","Probably Low","Probably High","Definitely Yes","Definitely Low","Definitely No","Definitely Low","Probably No","Probably High"
"40003","Casiraghi, 2026","Probably No","Definitely Low","Definitely No","Definitely Low","Definitely No","Definitely Low","Probably No","Probably High","Probably Yes","Definitely Low","Definitely Low","Probably Yes","Probably High","Definitely Yes","Probably Low","Definitely Yes","Definitely High"
"40004","Daniels, 2024","Probably No","Definitely High","Probably No","Probably Low","Probably No","Probably High","Probably Yes","Probably High","Definitely Yes","Probably Low","Probably Low","Probably Yes","Definitely High","Definitely No","Probably High","Probably Yes","Probably High"
"40005","Eldgard, 2024","Definitely Yes","Probably Low","Definitely Yes","Probably High","Definitely No","Probably High","Definitely Yes","Probably Low","Probably No","Probably Low","Definitely High","Definitely No","Definitely High","Probably Yes","Probably High","Probably Yes","Probably Low"
"40006","Falavigna, 2026","Probably No","Definitely High","Definitely No","Probably High","Probably Yes","Probably Low","Definitely No","Definitely Low","Definitely Yes","Definitely Low","Probably Low","Probably Yes","Definitely High","Definitely Yes","Definitely High","Definitely No","Definitely High"
"40007","Guyllion, 2024","Probably No","Definitely Low","Definitely Yes","Probably High","Probably No","Definitely Low","Probably No","Definitely High","Probably Yes","Definitely High","Definitely Low","Probably No","Probably Low","Definitely Yes","Probably High","Probably Yes","Probably Low"
"40008","Hinna, 2024","Probably No","Probably Low","Definitely Yes","Probably High","Definitely No","Definitely Low","Definitely Yes","Probably High","Probably No","Probably Low","Definitely Low","Probably Yes","Definitely Low","Definitely Yes","Definitely High","Definitely Yes","Probably Low"
"40009","Iverson, 2024","Probably Yes","Definitely High","Probably Yes","Probably High","Definitely No","Probably Low","Probably Yes","Probably High","Definitely No","Probably High","Definitely High","Definitely No","Definitely Low","Probably Yes","Probably Low","Definitely Yes","Probably High"
"40010","James, 2024","Definitely Yes","Probably Low","Probably Yes","Definitely Low","Definitely Yes","Definitely Low","Probably Yes","Definitely Low","Definitely Yes","Probably High","Definitely Low","Probably Yes","Probably High","Definitely No","Probably Low","Probably Yes","Definitely High"
"40011","Kevin, 2024","Probably Yes","Definitely High","Definitely No","Probably Low","Definitely Yes","Definitely Low","Definitely No","Probably High","Definitely No","Definitely High","Definitely High","Definitely Yes","Definitely Low","Definitely Yes","Definitely High","Probably No","Definitely Low"
"40012","Lennon, 2024","Probably Yes","Probably Low","Probably Yes","Definitely High","Probably Yes","Definitely High","Probably Yes","Probably High","Definitely No","Probably Low","Definitely Low","Definitely No","Definitely Low","Definitely Yes","Definitely Low","Definitely Yes","Probably Low"
"40013","Moraes, 2026","Probably Yes","Definitely High","Definitely No","Definitely High","Probably Yes","Definitely High","Definitely Yes","Probably Low","Definitely No","Definitely Low","Definitely High","Probably No","Definitely High","Probably No","Definitely High","Definitely No","Probably Low"
"40014","Norton, 2024","Probably Yes","Probably High","Probably Yes","Definitely Low","Definitely Yes","Probably High","Definitely Yes","Definitely Low","Definitely No","Probably Low","Definitely Low","Definitely Yes","Probably Low","Definitely Yes","Definitely Low","Probably Yes","Definitely High"
"40015","Oswald, 2024","Definitely Yes","Probably Low","Definitely Yes","Definitely Low","Definitely No","Probably High","Probably No","Probably Low","Probably No","Probably Low","Probably High","Definitely No","Probably Low","Probably No","Definitely High","Probably No","Definitely Low"
"40016","Pierce, 2024","Definitely Yes","Definitely High","Definitely Yes","Definitely Low","Probably Yes","Probably High","Probably Yes","Probably High","Definitely Yes","Probably Low","Probably High","Probably No","Probably Low","Definitely No","Probably High","Definitely Yes","Probably High"
"40017","Quentin, 2024","Definitely Yes","Probably Low","Probably No","Definitely Low","Definitely Yes","Probably Low","Probably No","Probably High","Probably Yes","Probably High","Probably Low","Probably No","Definitely High","Probably No","Definitely Low","Definitely Yes","Definitely High"
"40018","Rossi Fermo, 2026","Probably Yes","Definitely Low","Probably No","Probably High","Definitely Yes","Probably High","Probably Yes","Probably Low","Definitely Yes","Probably High","Definitely High","Probably Yes","Probably Low","Probably Yes","Probably Low","Definitely No","Definitely Low"
"40019","Santos, 2024","Probably Yes","Probably High","Definitely No","Probably Low","Probably No","Probably Low","Definitely Yes","Definitely High","Definitely Yes","Definitely High","Probably Low","Probably Yes","Definitely High","Probably No","Probably High","Probably Yes","Probably Low"
"40020","Thompson, 2024","Definitely Yes","Probably Low","Definitely No","Probably High","Probably No","Definitely Low","Probably No","Probably High","Definitely No","Probably High","Definitely Low","Definitely Yes","Probably High","Probably Yes","Probably High","Definitely Yes","Definitely Low"
